date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2017-08-17,2.073,2017-07-31,2017-08-02,15,True,False
2017-08-18,2.073,2017-07-31,2017-08-02,16,True,False
2017-08-21,2.073,2017-07-31,2017-08-02,19,True,False
2017-08-22,2.073,2017-07-31,2017-08-02,20,True,False
2017-08-23,2.073,2017-07-31,2017-08-02,21,True,False
2017-08-24,2.073,2017-07-31,2017-08-02,22,True,False
2017-08-25,2.073,2017-07-31,2017-08-02,23,True,False
2017-08-28,2.073,2017-07-31,2017-08-02,26,True,False
2017-08-29,2.073,2017-07-31,2017-08-02,27,True,False
2017-08-30,2.073,2017-07-31,2017-08-02,28,True,False
2017-08-31,2.073,2017-07-31,2017-08-02,29,True,False
2017-09-01,2.073,2017-07-31,2017-08-02,30,True,False
2017-09-07,1.893,2017-08-31,2017-09-07,0,True,False
2017-09-08,1.893,2017-08-31,2017-09-07,1,True,False
2017-09-11,1.893,2017-08-31,2017-09-07,4,True,False
2017-09-12,1.893,2017-08-31,2017-09-07,5,True,False
2017-09-13,1.893,2017-08-31,2017-09-07,6,True,False
2017-09-14,1.893,2017-08-31,2017-09-07,7,True,False
2017-09-15,1.893,2017-08-31,2017-09-07,8,True,False
2017-09-18,1.893,2017-08-31,2017-09-07,11,True,False
2017-09-19,1.893,2017-08-31,2017-09-07,12,True,False
2017-09-20,1.893,2017-08-31,2017-09-07,13,True,False
2017-09-21,1.893,2017-08-31,2017-09-07,14,True,False
2017-09-22,1.893,2017-08-31,2017-09-07,15,True,False
2017-09-25,1.893,2017-08-31,2017-09-07,18,True,False
2017-09-26,1.893,2017-08-31,2017-09-07,19,True,False
2017-09-27,1.893,2017-08-31,2017-09-07,20,True,False
2017-09-28,1.893,2017-08-31,2017-09-07,21,True,False
2017-09-29,1.893,2017-08-31,2017-09-07,22,True,False
2017-10-02,1.893,2017-08-31,2017-09-07,25,True,False
2017-10-03,1.893,2017-08-31,2017-09-07,26,True,False
2017-10-04,1.893,2017-08-31,2017-09-07,27,True,False
2017-10-05,1.625,2017-09-30,2017-10-05,0,True,False
2017-10-06,1.625,2017-09-30,2017-10-05,1,True,False
2017-10-09,1.625,2017-09-30,2017-10-05,4,True,False
2017-10-10,1.625,2017-09-30,2017-10-05,5,True,False
2017-10-11,1.625,2017-09-30,2017-10-05,6,True,False
2017-10-12,1.625,2017-09-30,2017-10-05,7,True,False
2017-10-13,1.625,2017-09-30,2017-10-05,8,True,False
2017-10-16,1.625,2017-09-30,2017-10-05,11,True,False
2017-10-17,1.625,2017-09-30,2017-10-05,12,True,False
2017-10-18,1.625,2017-09-30,2017-10-05,13,True,False
2017-10-19,1.625,2017-09-30,2017-10-05,14,True,False
2017-10-20,1.625,2017-09-30,2017-10-05,15,True,False
2017-10-23,1.625,2017-09-30,2017-10-05,18,True,False
2017-10-24,1.625,2017-09-30,2017-10-05,19,True,False
2017-10-25,1.625,2017-09-30,2017-10-05,20,True,False
2017-10-26,1.625,2017-09-30,2017-10-05,21,True,False
2017-10-27,1.625,2017-09-30,2017-10-05,22,True,False
2017-10-30,1.625,2017-09-30,2017-10-05,25,True,False
2017-10-31,1.625,2017-09-30,2017-10-05,26,True,False
2017-11-01,1.625,2017-09-30,2017-10-05,27,True,False
2017-11-02,1.625,2017-09-30,2017-10-05,28,True,False
2017-11-03,1.625,2017-09-30,2017-10-05,29,True,False
2017-11-06,2.533,2017-10-31,2017-11-06,0,True,False
2017-11-07,2.533,2017-10-31,2017-11-06,1,True,False
2017-11-08,2.533,2017-10-31,2017-11-06,2,True,False
2017-11-09,2.533,2017-10-31,2017-11-06,3,True,False
2017-11-10,2.533,2017-10-31,2017-11-06,4,True,False
2017-11-13,2.533,2017-10-31,2017-11-06,7,True,False
2017-11-14,2.533,2017-10-31,2017-11-06,8,True,False
2017-11-15,2.533,2017-10-31,2017-11-06,9,True,False
2017-11-16,2.533,2017-10-31,2017-11-06,10,True,False
2017-11-17,2.533,2017-10-31,2017-11-06,11,True,False
2017-11-20,2.533,2017-10-31,2017-11-06,14,True,False
2017-11-21,2.533,2017-10-31,2017-11-06,15,True,False
2017-11-22,2.533,2017-10-31,2017-11-06,16,True,False
2017-11-24,2.533,2017-10-31,2017-11-06,18,True,False
2017-11-27,2.533,2017-10-31,2017-11-06,21,True,False
2017-11-28,2.533,2017-10-31,2017-11-06,22,True,False
2017-11-29,2.533,2017-10-31,2017-11-06,23,True,False
2017-11-30,2.533,2017-10-31,2017-11-06,24,True,False
