permit_id,outfall,unit_class,basis,date,value_raw,nodi_code
OK0043320,008,MGD,MO AVG,2023-06-30,.09,
OK0043320,008,MGD,MO AVG,2023-08-31,.09,
OK0043320,008,MGD,MO AVG,2023-09-30,.09,
OK0043320,008,MGD,MO AVG,2023-12-31,.09,
OK0043320,008,null,DAILY MX,2023-01-31,,C
OK0043320,008,null,DAILY MX,2023-02-28,,C
OK0043320,008,null,DAILY MX,2023-04-30,,C
OK0043320,008,null,DAILY MX,2023-05-31,,C
OK0043320,008,null,DAILY MX,2023-07-31,,C
OK0043320,008,null,DAILY MX,2023-10-31,,C
OK0043320,008,null,DAILY MX,2023-11-30,,C
OK0043320,008,null,MO AVG,2023-01-31,,C
OK0043320,008,null,MO AVG,2023-02-28,,C
OK0043320,008,null,MO AVG,2023-04-30,,C
OK0043320,008,null,MO AVG,2023-05-31,,C
OK0043320,008,null,MO AVG,2023-07-31,,C
OK0043320,008,null,MO AVG,2023-10-31,,C
OK0043320,008,null,MO AVG,2023-11-30,,C
OK0044598,001,gal/d,DAILY MX,2023-01-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-02-28,6000,
OK0044598,001,gal/d,DAILY MX,2023-03-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-04-30,6000,
OK0044598,001,gal/d,DAILY MX,2023-05-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-06-30,6000,
OK0044598,001,gal/d,DAILY MX,2023-07-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-08-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-09-30,6000,
OK0044598,001,gal/d,DAILY MX,2023-10-31,6000,
OK0044598,001,gal/d,DAILY MX,2023-11-30,6000,
OK0044598,001,gal/d,DAILY MX,2023-12-31,6000,
OK0044598,001,gal/d,MO AVG,2023-01-31,6000,
OK0044598,001,gal/d,MO AVG,2023-02-28,6000,
OK0044598,001,gal/d,MO AVG,2023-03-31,6000,
OK0044598,001,gal/d,MO AVG,2023-04-30,6000,
OK0044598,001,gal/d,MO AVG,2023-05-31,6000,
OK0044598,001,gal/d,MO AVG,2023-06-30,6000,
OK0044598,001,gal/d,MO AVG,2023-07-31,6000,
OK0044598,001,gal/d,MO AVG,2023-08-31,6000,
OK0044598,001,gal/d,MO AVG,2023-09-30,6000,
OK0044598,001,gal/d,MO AVG,2023-10-31,6000,
OK0044598,001,gal/d,MO AVG,2023-11-30,6000,
OK0044598,001,gal/d,MO AVG,2023-12-31,6000,
OKG950028,001,null,DAILY MX,2023-01-31,,C
OKG950028,001,null,DAILY MX,2023-02-28,,C
OKG950028,001,null,DAILY MX,2023-03-31,,C
OKG950028,001,null,DAILY MX,2023-04-30,,C
OKG950028,001,null,DAILY MX,2023-05-31,,C
OKG950028,001,null,DAILY MX,2023-06-30,,C
OKG950028,001,null,DAILY MX,2023-07-31,,C
OKG950028,001,null,DAILY MX,2023-08-31,,C
OKG950028,001,null,DAILY MX,2023-09-30,,C
OKG950028,001,null,DAILY MX,2023-10-31,,C
OKG950028,001,null,DAILY MX,2023-11-30,,C
OKG950028,001,null,DAILY MX,2023-12-31,,C
OKG950028,001,null,MO AVG,2023-01-31,,C
OKG950028,001,null,MO AVG,2023-02-28,,C
OKG950028,001,null,MO AVG,2023-03-31,,C
OKG950028,001,null,MO AVG,2023-04-30,,C
OKG950028,001,null,MO AVG,2023-05-31,,C
OKG950028,001,null,MO AVG,2023-06-30,,C
OKG950028,001,null,MO AVG,2023-07-31,,C
OKG950028,001,null,MO AVG,2023-08-31,,C
OKG950028,001,null,MO AVG,2023-09-30,,C
OKG950028,001,null,MO AVG,2023-10-31,,C
OKG950028,001,null,MO AVG,2023-11-30,,C
OKG950028,001,null,MO AVG,2023-12-31,,C
