permit_id,facility_name,outfall,unit,unit_class,basis,value_type,date,value_raw,value_num,qualifier,nodi_code,nodi_desc,version,received_date
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-05-31,,,,C,No Discharge,5,2024-06-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-06-30,,,,C,No Discharge,5,2024-07-01
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-07-31,,,,C,No Discharge,5,2024-08-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-08-31,,,,C,No Discharge,5,2024-09-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-09-30,,,,C,No Discharge,5,2024-10-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-10-31,,,,C,No Discharge,5,2024-11-01
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-11-30,,,,C,No Discharge,5,2024-12-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2024-12-31,,,,C,No Discharge,5,2025-01-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-01-31,,,,C,No Discharge,5,2025-02-07
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-02-28,,,,C,No Discharge,5,2025-03-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-03-31,,,,C,No Discharge,5,2025-04-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-04-30,,,,C,No Discharge,5,2025-05-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-05-31,,,,C,No Discharge,5,2025-06-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-06-30,,,,C,No Discharge,5,2025-07-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-07-31,,,,C,No Discharge,5,2025-08-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-08-31,,,,C,No Discharge,5,2025-09-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-09-30,,,,C,No Discharge,5,2025-10-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-10-31,,,,C,No Discharge,5,2025-11-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-11-30,,,,C,No Discharge,5,2025-12-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2025-12-31,,,,C,No Discharge,5,2026-01-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-01-31,,,,C,No Discharge,5,2026-02-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-02-28,,,,C,No Discharge,5,2026-03-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-03-31,,,,C,No Discharge,5,2026-04-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-04-30,,,,C,No Discharge,5,2026-05-06
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-05-31,,,,C,No Discharge,5,2026-06-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-06-30,,,,C,No Discharge,5,2026-07-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,001,,null,MO AVG,Q1,2026-07-31,,,,C,No Discharge,5,2026-08-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-02-28,.09,0.09,=,,,4,2017-03-06
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-05-31,.09,0.09,=,,,4,2017-06-07
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-06-30,.09,0.09,=,,,4,2017-07-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-07-31,.09,0.09,=,,,4,2017-08-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-08-31,.09,0.09,=,,,4,2017-09-06
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2017-10-31,.09,0.09,=,,,4,2017-11-09
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2018-02-28,.09,0.09,=,,,4,2018-03-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2018-05-31,.09,0.09,=,,,4,2018-06-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2018-09-30,.09,0.09,=,,,4,2018-10-04
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2018-10-31,.09,0.09,=,,,4,2018-11-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-01-31,.09,0.09,=,,,4,2019-02-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-03-31,.09,0.09,=,,,4,2019-04-02
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-05-31,.09,0.09,=,,,4,2019-06-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-06-30,.09,0.09,=,,,4,2019-07-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-07-31,.09,0.09,=,,,4,2019-08-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-09-30,.09,0.09,=,,,4,2019-10-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2019-10-31,.09,0.09,=,,,4,2019-11-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-02-29,.09,0.09,=,,,4,2020-03-09
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-03-31,.09,0.09,=,,,4,2020-04-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-04-30,.09,0.09,=,,,4,2020-05-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-07-31,.09,0.09,=,,,4,2020-08-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-08-31,.09,0.09,=,,,4,2020-09-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-11-30,.09,0.09,=,,,4,2020-12-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2020-12-31,.09,0.09,=,,,4,2021-01-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-01-31,.09,0.09,=,,,4,2021-02-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-03-31,.09,0.09,=,,,4,2021-04-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-04-30,.09,0.09,=,,,4,2021-05-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-05-31,.09,0.09,=,,,4,2021-06-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-06-30,.09,0.09,=,,,5,2021-07-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-07-31,.09,0.09,=,,,5,2021-08-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-08-31,.09,0.09,=,,,5,2021-09-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-09-30,.09,0.09,=,,,5,2021-10-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-10-31,.09,0.09,=,,,5,2021-11-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-11-30,.09,0.09,=,,,5,2021-12-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2021-12-31,.09,0.09,=,,,5,2022-01-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2022-03-31,.09,0.09,=,,,5,2022-04-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2022-04-30,.09,0.09,=,,,5,2022-05-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2022-05-31,.09,0.09,=,,,5,2022-06-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2022-06-30,.09,0.09,=,,,5,2022-07-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2022-08-31,.09,0.09,=,,,5,2022-09-01
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2023-03-31,.09,0.09,=,,,5,2023-04-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2023-06-30,.09,0.09,=,,,5,2023-07-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2023-08-31,.09,0.09,=,,,5,2023-09-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2023-09-30,.09,0.09,=,,,5,2023-10-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2023-12-31,.09,0.09,=,,,5,2024-01-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2024-05-31,.09,0.09,=,,,5,2024-06-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2024-07-31,.09,0.09,=,,,5,2024-08-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2024-11-30,.09,0.09,=,,,5,2024-12-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-03-31,.09,0.09,=,,,5,2025-04-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-05-31,.09,0.09,=,,,5,2025-06-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-06-30,.09,0.09,=,,,5,2025-07-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-07-31,.09,0.09,=,,,5,2025-08-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-10-31,.09,0.09,=,,,5,2025-11-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2025-12-31,.09,0.09,=,,,5,2026-01-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,DAILY MX,Q2,2026-07-31,.08,0.08,=,,,5,2026-08-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-02-28,.09,0.09,=,,,4,2017-03-06
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-05-31,.09,0.09,=,,,4,2017-06-07
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-06-30,.09,0.09,=,,,4,2017-07-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-07-31,.09,0.09,=,,,4,2017-08-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-08-31,.09,0.09,=,,,4,2017-09-06
