month,avc040_present,format,days_present,days_by_dir,missing_dates,records,directions,lanes,units,dup_keys_file,dup_keys_station,lane0_coexist_groups_file,station_lane0_rows,zero_hours,min_hourly_veh,max_hourly_veh,dst_date,dst_overlap,source_quality
2016-01,True,fixed_legacy,21,3:21;7:21,2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10,42,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,342,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jan2016_quality.json
2016-02,True,fixed_legacy,29,3:29;7:29,,58,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,374,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_feb2016_quality.json
2016-03,True,fixed_legacy,29,3:29;7:29,2016-03-13;2016-03-28,58,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,412,2016-03-13,True,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T075705Z/avc040_mar2016_quality.json
2016-04,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,341,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_apr2016_quality.json
2016-05,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,361,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_may2016_quality.json
2016-06,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,350,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jun2016_quality.json
2016-07,True,fixed_legacy,21,3:21;7:21,2016-07-22;2016-07-23;2016-07-24;2016-07-25;2016-07-26;2016-07-27;2016-07-28;2016-07-29;2016-07-30;2016-07-31,42,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,326,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jul2016_quality.json
2016-08,True,fixed_legacy,26,3:26;7:26,2016-08-27;2016-08-28;2016-08-29;2016-08-30;2016-08-31,52,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,1244,0,20,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_aug2016_quality.json
2016-09,False,fixed_legacy,0,,2016-09-01;2016-09-02;2016-09-03;2016-09-04;2016-09-05;2016-09-06;2016-09-07;2016-09-08;2016-09-09;2016-09-10;2016-09-11;2016-09-12;2016-09-13;2016-09-14;2016-09-15;2016-09-16;2016-09-17;2016-09-18;2016-09-19;2016-09-20;2016-09-21;2016-09-22;2016-09-23;2016-09-24;2016-09-25;2016-09-26;2016-09-27;2016-09-28;2016-09-29;2016-09-30,0,,,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,,,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_sep2016_quality.json
2016-10,False,fixed_legacy,0,,2016-10-01;2016-10-02;2016-10-03;2016-10-04;2016-10-05;2016-10-06;2016-10-07;2016-10-08;2016-10-09;2016-10-10;2016-10-11;2016-10-12;2016-10-13;2016-10-14;2016-10-15;2016-10-16;2016-10-17;2016-10-18;2016-10-19;2016-10-20;2016-10-21;2016-10-22;2016-10-23;2016-10-24;2016-10-25;2016-10-26;2016-10-27;2016-10-28;2016-10-29;2016-10-30;2016-10-31,0,,,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,,,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_oct2016_quality.json
