station_id,distance_km,lat,lon,counties,routes,f_systems,directions,lanes,num_lanes,class_types,year_est,rows,location
AVC049,228.926,34.158367,-97.927322,067,US-70,4R,3;7,1,1,H,00,2,"S-70, 3.20 miles E of US-81, E of Wau"
AVC027,231.089,36.362570,-99.298782,153,US-183,3R,3;7,1;2,2,H,00,4,"S-270, 3.80 miles E of SH-34. SE of W"
AVC521,239.789,33.838155,-96.520078,013,US-69,3R,1;5,1;2,2,H,18,4,"S-69, 1.10 miles N of the Red River B"
WIM021,241.187,33.824678,-96.531396,013,US-69,3R,1;5,1;2,2,H,00,4,"S-69, 1.10 miles N of the Red River B"
AVC514,241.227,35.421399,-99.346853,149,I-40,1R,3;7,1;2,2,H,18,4,"-40, 1.46 miles E of SH-34"
WIM114,241.227,35.421399,-99.346853,149,I-40,1R,3;7,1;2,2,H,95,4,"-40, 1.46 miles E of SH-34"
AVC028,252.630,33.735036,-97.150516,085,I-35,1R,1;5,1;2,2,H,06,4,"-35, 0.10 miles N of the Red River Br"
AVC062,253.424,34.000052,-95.399970,023,US-70,3R,3;7,1;2,2,H,06,4,"S-70,  4.40 miles E of US-70B E of Hu"
AVC036,262.689,34.112868,-98.527094,033,I-44,1R,3;7,1;2,2,H,00,4,"-44, 0.20 miles N of the Red River Br"
AVC017,281.643,34.637613,-99.395454,065,US-62,3R,3;7,1;2,2,H,95,4,"S-62, 3.50 miles W of US-283, in Altu"
WIM032,283.316,33.939994,-94.912391,045;089,US-70;US000070,3R,1;3;5;7,1;2,2,H;N,11,8,"On US-70, 4.5 miles W of Junct | S-70, 4.50 miles W of US-259"
AVC532,283.316,33.939994,-94.912391,089,US-70,3R,3;7,1;2,2,H,18,4,"S-70, 4.50 miles W of US-259"
AVC054,304.072,35.226867,-99.998733,009,I-40,1R,3;7,1;2,2,H,05,4,"-40, 400 ft E of the Texas SL"
AVC059,404.213,36.634517,-101.205987,139,SH-3,3R,3;7,1,1,H,07,2,"H-3, 1.30 miles SE of SH-94, W of Har"
AVC058,418.891,36.768273,-101.344219,139,US-54,3R,3;7,1;2,2,H,00,4,"S-54, 8.60 miles NE of US-64, NE of G"
AVC525,522.705,36.810189,-102.517409,001;013;025,US-287;US000287,3R,1;3;5;7,1,1,H;N,00;18,4,"5.6 miles N of intersect of SH | S-287, 5.60 miles N of SH-325"
WIM025,522.705,36.810189,-102.517409,025,US-287,3R,3;7,1,1,H,00,2,"S-287, 5.60 miles N of SH-325"
