date,max_temp_f,min_temp_f,precip_in
2022-01-02,29.1,12.2,
2022-01-03,52.7,14.7,
2022-01-04,56.3,33,
2022-01-05,43,25.7,
2022-01-06,25.2,13.1,
2022-01-07,37,12.7,
2022-01-08,50,37,
2022-01-09,49,25.7,
2022-01-10,53,19.2,
2022-01-11,60.6,23.9,
2022-01-12,58.5,31.3,
2022-01-13,65.5,34.3,
2022-01-14,59.4,33,
2022-01-15,35.6,21.9,
2022-01-16,48.2,21.4,
2022-01-17,58.5,29.3,
2022-01-18,63,34.7,
2022-01-19,43.2,19,
2022-01-20,25.9,9.7,
2022-01-21,37.4,6,
2022-01-22,49.6,13.5,
2022-01-23,58.8,30.2,
2022-01-24,65,31.8,
2022-01-25,39.2,25.9,
2022-01-26,36,21.2,
2022-01-27,45,30.2,
2022-01-28,48.2,22.6,
2022-01-29,68.4,21,
2022-01-30,62.8,27.3,
2022-01-31,71,23.7,
2022-02-01,60,37.8,0.16
2022-02-02,37,17.1,0.18
2022-02-03,18.1,14.5,
2022-02-04,31.5,7.7,
2022-02-05,45,9.1,
2022-02-06,48.7,25.3,
2022-02-07,55.8,26.4,
2022-02-08,65.8,29.1,
2022-02-09,66.2,33.3,
2022-02-10,60,33.6,
2022-02-11,62,40.8,
2022-02-12,40.6,22.8,
2022-02-13,53.8,25.5,
2022-02-14,67.3,32,
2022-02-15,67,44.2,
2022-02-16,72.5,54.7,
2022-02-17,59,19.4,1.91
2022-02-18,48.7,14,
2022-02-19,58.8,31.5,
2022-02-20,68.7,38.3,
2022-02-21,71.2,50.5,
2022-02-22,63,18.3,0.13
2022-02-23,18.3,10.8,0.47
2022-02-24,22.6,15.3,
2022-02-25,31.1,13.1,
2022-02-26,42,19.4,
2022-02-27,55.2,23,
2022-02-28,68.7,32,
2022-03-01,75.6,34,
2022-03-02,79.2,36,
2022-03-03,80,39.4,
2022-03-04,76,42,
2022-03-05,80.8,45.5,
2022-03-06,43.5,32.4,0.86
2022-03-07,40.3,27.5,
2022-03-08,42,25.9,
2022-03-09,54.3,24.1,
2022-03-10,51.4,27,
2022-03-11,37,22.5,0.02
2022-03-12,53.6,14.5,
2022-03-13,67.6,36.5,
2022-03-14,61.7,42.3,
2022-03-15,67,42.6,
2022-03-16,78.3,34.2,
2022-03-17,73.2,50.2,0.82
2022-03-18,53.8,35.2,0.16
2022-03-19,71,36.5,
2022-03-20,78.3,40.8,
2022-03-21,60.6,48.7,2.79
2022-03-22,52.7,39.2,0.02
2022-03-23,45.7,38.5,
2022-03-24,58.5,33.8,
2022-03-25,65,29.8,
2022-03-26,71,32.4,
2022-03-27,69.6,46.4,
2022-03-28,80.2,45.5,
2022-03-29,80,64.8,
2022-03-30,66,35.8,0.02
2022-03-31,50.2,31.8,
2022-04-01,68,29.1,0.04
2022-04-02,72,39.6,0.1
2022-04-03,80.8,43.7,
2022-04-04,64.6,54,0.92
2022-04-05,78.6,47.5,
2022-04-06,66,48.2,
2022-04-07,60.3,37.6,
2022-04-08,59.5,35.2,
2022-04-09,81.5,30.2,
2022-04-10,81.7,63.5,
2022-04-11,68.2,53.8,0.2
2022-04-12,84,55.6,
2022-04-13,69.8,42.4,
2022-04-14,69,31.8,
2022-04-15,85.3,56.3,
2022-04-16,62.6,47.8,
2022-04-17,63,44,
2022-04-18,65,37.6,
2022-04-19,71.2,32,
2022-04-20,91.6,55,
2022-04-21,82,60.8,
2022-04-22,79,69.8,
2022-04-23,78,64.4,
2022-04-24,66.4,50.5,
2022-04-25,67,45.3,
2022-04-26,71.4,34,
2022-04-27,75.4,38,
2022-04-28,78,56,1.56
2022-04-29,81,65.8,
2022-04-30,74.3,51,0.22
2022-05-01,76,46,
2022-05-02,72.3,51.4,3.58
2022-05-03,62.6,46,
2022-05-04,64.6,50.4,5.27
2022-05-05,65,50.2,2.7
2022-05-06,72.5,49.5,
2022-05-07,80.2,52.7,
2022-05-08,90.5,71.6,
2022-05-09,90.5,74.3,
2022-05-10,89.4,75.2,
2022-05-11,89,69.3,
2022-05-12,91,69,
2022-05-13,84,65.7,
2022-05-14,89.8,65.3,
2022-05-15,89.4,62.8,0.12
2022-05-16,82.2,58.8,
2022-05-17,85.5,60.4,0.06
2022-05-18,88.3,67.6,0.08
2022-05-19,89.8,65.3,0.02
2022-05-20,82.4,68.4,
2022-05-21,68,54,1.54
2022-05-22,66.7,47,
2022-05-23,60,52.3,7.49
2022-05-24,65.5,59,3.2
2022-05-25,60.8,53,1.66
2022-05-26,68,51,0.08
2022-05-27,83.3,48,
2022-05-28,85.6,62.6,
2022-05-29,87,72.5,
2022-05-30,86.5,71,
2022-05-31,84.6,74.7,
2022-06-01,79,61.3,0.48
2022-06-02,78,59.4,
2022-06-03,78.8,60,
2022-06-04,82.4,58,
2022-06-05,78.8,62,2.36
2022-06-06,86.7,63.7,2.42
2022-06-07,85,68,0.08
2022-06-08,77.4,64,0.24
2022-06-09,83.5,62,
2022-06-10,87.8,63.3,1.38
2022-06-11,90.5,71.6,
2022-06-12,96.6,74.3,
2022-06-13,94.3,78.8,
2022-06-14,91,75.6,
2022-06-15,89.4,77.2,
2022-06-16,92.8,75.7,
2022-06-17,94.5,71,
2022-06-18,93.2,69,
2022-06-19,91,67,
2022-06-20,93,72,
2022-06-21,96.3,71,
2022-06-22,96,68.7,
2022-06-23,96.4,69,
2022-06-24,98.6,76.6,
2022-06-25,98.4,77.2,
2022-06-26,83,69.3,
2022-06-27,83.7,64.4,
2022-06-28,87.8,66.4,
2022-06-29,90,57.2,
2022-06-30,94.8,61.2,
2022-07-01,95.2,69.6,
2022-07-02,94.8,71.2,
2022-07-03,96,75.4,
2022-07-04,98.8,75.4,
2022-07-05,99.3,76,
2022-07-06,102.4,78.8,
2022-07-07,103,74.8,
2022-07-08,102.4,76.6,0.1
2022-07-09,97,72,
2022-07-10,96,69,
2022-07-11,100.6,66,
2022-07-12,92.8,72,
2022-07-13,97.2,64.4,
2022-07-14,100.6,63,
2022-07-15,100.4,70.7,
2022-07-16,100,74,
2022-07-17,104.7,75.2,
2022-07-18,99.3,68.4,
2022-07-19,108.3,61.3,
2022-07-20,101.8,82.6,
2022-07-21,100,75.2,0.64
2022-07-22,99,72.5,1.26
2022-07-23,100,73,
2022-07-24,102.4,75.2,
2022-07-25,103,76,
2022-07-26,103.8,75.2,
2022-07-27,103.3,78,
2022-07-28,93.6,73,1.74
2022-07-29,81.5,71.8,2.88
2022-07-30,84.2,69,
2022-07-31,88.5,73,0.48
2022-08-01,91,76,
2022-08-02,98.8,75.6,
2022-08-03,100.8,78.8,
2022-08-04,91,78,
2022-08-05,100.4,75.2,
2022-08-06,98.4,78.8,
2022-08-07,96.6,73,
2022-08-08,98,75.2,
2022-08-09,93.4,73.4,0.06
2022-08-10,95.4,70,
2022-08-11,94.3,68,
2022-08-12,93.7,65.8,
2022-08-13,95.7,69.4,
2022-08-14,98.2,69,
2022-08-15,99,66.7,
2022-08-16,102.2,75.6,
2022-08-17,76,69,0.14
2022-08-18,84.7,64.8,
2022-08-19,91.8,60.8,
2022-08-20,94,65.3,
2022-08-21,79,71,
2022-08-22,90.5,64,
2022-08-23,90.5,68.4,
2022-08-24,92,64.4,
2022-08-25,93,61.2,
2022-08-26,94.6,62.8,
2022-08-27,93.6,68,
2022-08-28,95.4,71.6,0.16
2022-08-29,90.7,69.3,1.52
2022-08-30,92.5,68.2,
2022-08-31,93.4,68,
