month,food_cpi,food_yoy_pct,available_date,cushing_kbbl,cushing_52w_z,future_wti_rv21,food_shock,cushing_tight,joint_gate
2021-05-01,391.7619278,61.48464890400604,2021-07-15,38058,-2.075375264894395,0.4250304645794444,True,True,True
2021-06-01,404.250444,62.74880296575218,2021-08-14,34575,-2.017795318622981,0.3196101798743379,True,True,True
2021-07-01,417.1355811,57.44719923327892,2021-09-14,36419,-1.409189514419224,0.20684017669849497,True,True,True
2021-08-01,436.531238,59.194991593384636,2021-10-15,33551,-1.414416630060599,0.2926619052726146,True,True,True
2021-09-01,458.763234,62.408526275371635,2021-11-14,26382,-1.8596843394670293,0.6296850006037354,True,True,True
2021-10-01,481.8664265,61.34600288407172,2021-12-15,32211,-0.9951129434721321,0.3171167330932696,True,False,False
2021-11-01,496.7037598,46.95399451976638,2022-01-14,34838,-0.596607189071743,0.3082700096595356,False,False,False
2021-12-01,503.484903,41.822691292734774,2022-02-14,27727,-1.4270680229125277,0.7986868821839929,False,True,False
2022-01-01,511.6499566,42.809309129087204,2022-03-17,24007,-1.5585108543249933,0.648337823323068,False,True,False
2022-02-01,531.7771176,40.89121909642335,2022-04-14,26337,-1.065193313877444,0.5292563690668785,False,True,False
2022-03-01,540.7400511,40.78574982011109,2022-05-15,28242,-0.6707059550102301,0.2530967678298527,False,False,False
2022-04-01,567.3141469,43.50143752300286,2022-06-14,23441,-1.3854935952341265,0.5989836193338439,False,True,False
2022-05-01,586.1188164,49.610969011573246,2022-07-15,21646,-1.5151375876839737,0.4128596221864084,False,True,False
2022-06-01,738.1480461,82.59671870638687,2022-08-14,25189,-0.6394865906830054,0.4671283401901102,True,False,False
2022-07-01,780.2200504,87.04231567648448,2022-09-14,24648,-0.6219276052887212,0.45539362187355986,True,False,False
2022-08-01,790.8577851,81.16865787735448,2022-10-15,25647,-0.2603703097531115,0.39629121702185816,True,False,False
2022-09-01,807.9289137,76.11021411973043,2022-11-14,27241,0.18351144945960218,0.398809793039525,True,False,False
2022-10-01,825.9591907,71.40832921257694,2022-12-15,24368,-0.4939771004715648,0.343754618539712,True,False,False
2022-11-01,836.3806051,68.38620376797076,2023-01-14,27781,0.9847092584814348,0.29527568010395927,True,False,False
2022-12-01,835.9251544,66.02784898199818,2023-02-14,39052,3.7479976470231486,0.36050189195118554,True,False,False
