month,usd_gal,fuel_50l,hourly_wage,fwh,umcsent
2019-10,2.627,34.699015430296846,28.24,1.2287186767102283,95.5
2019-11,2.59775,34.312663621642045,28.34,1.2107503042216672,96.8
2019-12,2.555,33.74799559360809,28.38,1.1891471315577198,99.3
2020-01,2.5477499999999997,33.65223317949707,28.43,1.1836874139816063,99.8
2020-02,2.442,32.25542279436045,28.54,1.1301829991016275,101.0
2020-03,2.2342,29.510673876805946,28.73,1.0271727767770953,89.1
2020-04,1.8405,24.310444575356435,30.04,0.8092691270092023,71.8
2020-05,1.8695,24.693494231800518,29.72,0.8308712729407981,72.3
2020-06,2.0822,27.502965332685232,29.38,0.9361118220791433,78.1
2020-07,2.18325,28.83769525626022,29.39,0.9812077324348492,72.5
2020-08,2.1824,28.826467938743754,29.49,0.9774997605542135,74.1
2020-09,2.18275,28.83109095183877,29.51,0.9769939326275422,80.4
2020-10,2.158,28.504177882977007,29.54,0.9649349317189237,81.8
2020-11,2.1082,27.846389162600616,29.64,0.9394868138529222,76.9
2020-12,2.19525,28.996198562375014,29.91,0.9694482969700774,80.7
2021-01,2.33425,30.832195191538037,29.93,1.0301435079030417,79.0
2021-02,2.501,33.03473071609152,30.05,1.099325481400716,76.8
2021-03,2.8104,37.12147429208461,30.03,1.2361463300727475,84.9
2021-04,2.85825,37.75350622521735,30.22,1.249288756625326,88.3
2021-05,2.9852,39.430339117823436,30.41,1.2966241077876828,82.9
2021-06,3.06375,40.46787534243318,30.54,1.3250777780757428,85.5
2021-07,3.136,41.42219733133267,30.66,1.351017525483779,81.2
2021-08,3.1578,41.71014500410787,30.78,1.3551054257344988,70.3
2021-09,3.175,41.937333076205746,30.98,1.3536905447451821,72.8
2021-10,3.2904999999999998,43.462927397560634,31.14,1.3957266344752932,71.7
2021-11,3.3948,44.840585299875045,31.23,1.4358176528938535,67.4
2021-12,3.3064999999999998,43.67426513904702,31.39,1.3913432666150691,70.6
2022-01,3.3146,43.78125487067451,31.6,1.385482749071978,67.2
2022-02,3.5172499999999998,46.45797945268808,31.64,1.4683305768864754,62.8
