date,direction,day_total_veh,hours_present,hours_missing
2015-06-04,7,3594,24,0
2015-06-05,3,3641,24,0
2015-06-05,7,3774,24,0
2015-06-06,3,2845,24,0
2015-06-06,7,2933,24,0
2015-06-07,3,2277,24,0
2015-06-07,7,2393,24,0
2015-06-08,3,3189,24,0
2015-06-08,7,3375,24,0
2015-06-09,3,3498,24,0
2015-06-09,7,3529,24,0
2015-06-10,3,3510,24,0
2015-06-10,7,3601,24,0
2015-06-11,3,3465,24,0
2015-06-11,7,3647,24,0
2015-06-12,3,3754,24,0
2015-06-12,7,3776,24,0
2015-06-13,3,2734,24,0
2015-06-13,7,2788,24,0
2015-06-14,3,2018,24,0
2015-06-14,7,2041,24,0
2015-06-15,3,3149,24,0
2015-06-15,7,3132,24,0
2015-06-16,3,3130,24,0
2015-06-16,7,3148,24,0
2015-06-17,3,3138,24,0
2015-06-17,7,3143,24,0
2015-06-18,3,2946,24,0
2015-06-18,7,2895,24,0
2015-06-19,3,3396,24,0
2015-06-19,7,3534,24,0
2015-06-20,3,2945,24,0
2015-06-20,7,3039,24,0
2015-06-21,3,2380,24,0
2015-06-21,7,2492,24,0
2015-06-22,3,3260,24,0
2015-06-22,7,3398,24,0
2015-06-23,3,3203,24,0
2015-06-23,7,3429,24,0
2015-06-24,3,3372,24,0
2015-06-24,7,3549,24,0
2015-06-25,3,3293,24,0
2015-06-25,7,3444,24,0
2015-06-26,3,3454,24,0
2015-06-26,7,3623,24,0
2015-06-27,3,2820,24,0
2015-06-27,7,2962,24,0
2015-06-28,3,2216,24,0
2015-06-28,7,2394,24,0
2015-06-29,3,3264,24,0
2015-06-29,7,3508,24,0
2015-06-30,3,3296,24,0
2015-06-30,7,3444,24,0
2015-07-01,3,3489,24,0
2015-07-01,7,3573,24,0
2015-07-02,3,3527,24,0
2015-07-02,7,3538,24,0
2015-07-03,3,3125,24,0
2015-07-03,7,3221,24,0
2015-07-04,3,2339,24,0
2015-07-04,7,2432,24,0
2015-07-05,3,2066,24,0
2015-07-05,7,2269,24,0
2015-07-06,3,3132,24,0
2015-07-06,7,3333,24,0
2015-07-07,3,3015,24,0
2015-07-07,7,3075,24,0
2015-07-08,3,3064,24,0
2015-07-08,7,3037,24,0
2015-07-09,3,3073,24,0
2015-07-09,7,3013,24,0
2015-07-10,3,3984,24,0
2015-07-10,7,3669,24,0
2015-07-11,3,3039,24,0
2015-07-11,7,3062,24,0
2015-07-12,3,2292,24,0
2015-07-12,7,2431,24,0
2015-07-13,3,3197,24,0
2015-07-13,7,3355,24,0
2015-07-14,3,3366,24,0
2015-07-14,7,3504,24,0
2015-07-15,3,3359,24,0
2015-07-15,7,3453,24,0
2015-07-16,3,3392,24,0
2015-07-16,7,3533,24,0
2015-07-17,3,3658,24,0
2015-07-17,7,3663,24,0
2015-07-18,3,2671,24,0
2015-07-18,7,2725,24,0
2015-07-19,3,2025,24,0
2015-07-19,7,2160,24,0
2015-07-20,3,3136,24,0
2015-07-20,7,3263,24,0
2015-07-21,3,2997,24,0
2015-07-21,7,3024,24,0
2015-07-22,3,3212,24,0
2015-07-22,7,3336,24,0
2015-07-23,3,3111,24,0
2015-07-23,7,3292,24,0
2015-07-24,3,3272,24,0
2015-07-24,7,3331,24,0
2015-07-25,3,2549,24,0
2015-07-25,7,2614,24,0
2015-07-26,3,1956,24,0
2015-07-26,7,2069,24,0
2015-07-27,3,3032,24,0
2015-07-27,7,3166,24,0
2015-07-28,3,3112,24,0
2015-07-28,7,3070,24,0
2015-07-29,3,3214,24,0
2015-07-29,7,3395,24,0
2015-07-30,3,3213,24,0
2015-07-30,7,3247,24,0
2015-07-31,3,3557,24,0
2015-07-31,7,3462,24,0
2015-08-01,3,2631,24,0
2015-08-01,7,2709,24,0
2015-08-02,3,2119,24,0
2015-08-02,7,2158,24,0
2015-08-03,3,3280,24,0
2015-08-03,7,3374,24,0
2015-08-04,3,3164,24,0
2015-08-04,7,3186,24,0
2015-08-05,3,3246,24,0
2015-08-05,7,3311,24,0
2015-08-06,3,3409,24,0
2015-08-06,7,3403,24,0
2015-08-07,3,3449,24,0
2015-08-07,7,3523,24,0
2015-08-08,3,2753,24,0
2015-08-08,7,2753,24,0
2015-08-09,3,2064,24,0
